127.0.0.1 - - [19/Jan/2026:19:52:02 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Jan/2026:19:52:04 +0530] "GET /AI_Powered_Job_Role_Recommendation/ HTTP/1.1" 200 2473
0:0:0:0:0:0:0:1 - - [19/Jan/2026:19:52:04 +0530] "GET /AI_Powered_Job_Role_Recommendation/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2026:19:52:04 +0530] "GET /AI_Powered_Job_Role_Recommendation/assets/images/job.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2026:19:52:04 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Jan/2026:19:52:43 +0530] "GET /AI_Powered_Job_Role_Recommendation/jsp/login.jsp HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [19/Jan/2026:19:52:53 +0530] "POST /AI_Powered_Job_Role_Recommendation/login HTTP/1.1" 200 1252
0:0:0:0:0:0:0:1 - - [19/Jan/2026:19:52:59 +0530] "GET /AI_Powered_Job_Role_Recommendation/history HTTP/1.1" 200 5185
0:0:0:0:0:0:0:1 - - [19/Jan/2026:19:53:08 +0530] "GET /AI_Powered_Job_Role_Recommendation/jsp/resume-upload.jsp HTTP/1.1" 200 1464
0:0:0:0:0:0:0:1 - - [19/Jan/2026:19:53:11 +0530] "GET /AI_Powered_Job_Role_Recommendation/jsp/skill-input.jsp HTTP/1.1" 200 1351
0:0:0:0:0:0:0:1 - - [19/Jan/2026:19:53:13 +0530] "GET /AI_Powered_Job_Role_Recommendation/history HTTP/1.1" 200 5185
0:0:0:0:0:0:0:1 - - [19/Jan/2026:19:53:15 +0530] "GET /AI_Powered_Job_Role_Recommendation/jsp/skill-input.jsp HTTP/1.1" 200 1351
0:0:0:0:0:0:0:1 - - [19/Jan/2026:19:53:25 +0530] "GET /AI_Powered_Job_Role_Recommendation/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jan/2026:19:53:25 +0530] "GET /AI_Powered_Job_Role_Recommendation/jsp/login.jsp HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [19/Jan/2026:19:53:32 +0530] "GET /AI_Powered_Job_Role_Recommendation/index.jsp HTTP/1.1" 200 2473
0:0:0:0:0:0:0:1 - - [19/Jan/2026:19:53:35 +0530] "GET /AI_Powered_Job_Role_Recommendation/jsp/login.jsp HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [19/Jan/2026:19:53:43 +0530] "POST /AI_Powered_Job_Role_Recommendation/login HTTP/1.1" 200 1252
0:0:0:0:0:0:0:1 - - [19/Jan/2026:20:03:54 +0530] "GET /AI_Powered_Job_Role_Recommendation/ HTTP/1.1" 200 2471
0:0:0:0:0:0:0:1 - - [19/Jan/2026:20:03:57 +0530] "GET /AI_Powered_Job_Role_Recommendation/jsp/register.jsp HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [19/Jan/2026:20:04:02 +0530] "GET /AI_Powered_Job_Role_Recommendation/jsp/login.jsp HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [19/Jan/2026:20:04:05 +0530] "GET /AI_Powered_Job_Role_Recommendation/jsp/login-success.jsp HTTP/1.1" 200 1252
0:0:0:0:0:0:0:1 - - [19/Jan/2026:20:04:07 +0530] "GET /AI_Powered_Job_Role_Recommendation/jsp/skill-input.jsp HTTP/1.1" 200 1351
0:0:0:0:0:0:0:1 - - [19/Jan/2026:20:04:13 +0530] "GET /AI_Powered_Job_Role_Recommendation/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jan/2026:20:04:13 +0530] "GET /AI_Powered_Job_Role_Recommendation/jsp/login.jsp HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [19/Jan/2026:20:04:27 +0530] "GET /AI_Powered_Job_Role_Recommendation/ HTTP/1.1" 200 2473
0:0:0:0:0:0:0:1 - - [19/Jan/2026:20:04:27 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Jan/2026:20:05:29 +0530] "GET /AI_Powered_Job_Role_Recommendation/jsp/register.jsp HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [19/Jan/2026:20:05:35 +0530] "GET /AI_Powered_Job_Role_Recommendation/jsp/login.jsp HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [19/Jan/2026:20:05:45 +0530] "POST /AI_Powered_Job_Role_Recommendation/login HTTP/1.1" 200 1252
0:0:0:0:0:0:0:1 - - [19/Jan/2026:20:05:51 +0530] "POST /AI_Powered_Job_Role_Recommendation/login HTTP/1.1" 200 1252
0:0:0:0:0:0:0:1 - - [19/Jan/2026:20:05:55 +0530] "GET /AI_Powered_Job_Role_Recommendation/jsp/login.jsp HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [19/Jan/2026:20:06:03 +0530] "POST /AI_Powered_Job_Role_Recommendation/login HTTP/1.1" 200 1252
